Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,Intel,660p NVMe PCIe M.2 2TB,217.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,Samsung,PM981 NVMe PCIe M.2 512GB,217.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,Crucial,P2 3D NVMe PCIe M.2 2TB,217.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,Adata,XPG SX8200 NVMe PCIe M.2 480GB,216.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,Samsung,960 Evo NVMe PCIe M.2 500GB,213.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,213.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,Crucial,P1 3D NVMe PCIe M.2 1TB,212.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,XPG,Gammix S11 NVMe PCIe M.2 480GB,208.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,Intel,DC P3700 Series NVMe PCIe 400GB,208.0,400GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,Samsung,SM951 NVMe PCIe M.2 512GB,205.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,WD,Blue SN550 NVMe PCIe M.2 500GB,204.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,203.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,WD,Black SN750 NVMe PCIe M.2 250GB (2019),201.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,Crucial,P2 3D NVMe PCIe M.2 1TB,200.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,Samsung,950 NVMe PCIe M.2 256GB,199.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,Samsung,960 Evo NVMe PCIe M.2 250GB,199.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,Corsair,Force NVMe PCIe M.2 480GB,198.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,Plextor,M8Pe NVMe PCIe M.2 512GB,196.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
