Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,Seagate,IronWolf 1TB (2016),78.3,1TB,IronWolf,1TB,2016.0,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,WD,Re 4TB (2012),78.1,4TB,Re,4TB,2012.0,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,Seagate,SkyHawk 1TB (2016),78.0,1TB,SkyHawk,1TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
HDD,Toshiba,HDWD105 500GB,78.0,500GB,HDWD105,500GB,,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,Toshiba,HDWD105 500GB,78.0,500GB,HDWD105,500GB,,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,Toshiba,HDWD105 500GB,78.0,500GB,HDWD105,500GB,,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,Seagate,Barracuda Pro 10TB (2016),78.0,10TB,Barracuda Pro,10TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,Seagate,ST1500DM003-9YN16G 1.5TB,77.5,5TB,ST1500DM003-9YN16G 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,WD,Red 5TB (2014),77.3,5TB,Red,5TB,2014.0,https://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524
HDD,WD,Red 6TB (2014),77.2,6TB,Red,6TB,2014.0,https://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663
HDD,WD,Green 5TB (2014),76.9,5TB,Green,5TB,2014.0,https://hdd.userbenchmark.com/WD-Green-5TB-2014/Rating/3517
HDD,WD,Red 8TB (2016),76.9,8TB,Red,8TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/124577/WDC-WD80EFZX-68UW8N0
HDD,WD,Purple Surveillance 3TB (2017),76.9,3TB,Purple Surveillance,3TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/329567/WDC-WD30PURZ-85GU6Y0
HDD,Seagate,Desktop HDD 4TB (2013),76.9,4TB,Desktop HDD,4TB,2013.0,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598
HDD,Seagate,ST4000DM 000-1CD168 4TB,76.6,4TB,ST4000DM 000-1CD168,4TB,,https://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,Seagate,ST2000VM003-1CT164 2TB,76.5,2TB,ST2000VM003-1CT164,2TB,,https://hdd.userbenchmark.com/SpeedTest/7562/ST2000VM003-1CT164
