Type,Brand,Model,Benchmark,Model_Type,Tier,Processor_Number,URL
CPU,Intel,Core i3-1005G1,43.8,Core,i3,1005G1,https://cpu.userbenchmark.com/SpeedTest/906918/IntelR-CoreTM-i3-1005G1-CPU---120GHz
CPU,Intel,Core2 Quad Q8300,43.8,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/1930/IntelR-CoreTM2-Quad-CPU----Q8300----250GHz
CPU,Intel,Core2 Duo E8600,43.7,Core2,Core2 Duo,E8600,https://cpu.userbenchmark.com/SpeedTest/124/IntelR-CoreTM2-Duo-CPU-----E8600----333GHz
CPU,Intel,Core M-5Y51,43.7,Core,Core M-,5Y51,https://cpu.userbenchmark.com/SpeedTest/24458/IntelR-CoreTM-M-5Y51-CPU---110GHz
CPU,AMD,A8-7650K APU (2014 D.Ka),43.7,A8-7650K,A8-,7650K,https://cpu.userbenchmark.com/SpeedTest/27184/AMD-A8-7650K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,Intel,Pentium B960,43.7,Pentium,Pentium,B960,https://cpu.userbenchmark.com/SpeedTest/1038/IntelR-PentiumR-CPU-B960---220GHz
CPU,Intel,Core i5-4300U,43.7,Core,i5,4300U,https://cpu.userbenchmark.com/SpeedTest/4996/IntelR-CoreTM-i5-4300U-CPU---190GHz
CPU,AMD,A10-5757M APU,43.7,A10-5757M,A10-,5757M,https://cpu.userbenchmark.com/SpeedTest/7160/AMD-A10-5757M-APU-with-Radeontm-HD-Graphics
CPU,AMD,Athlon II X3 450,43.6,Athlon,Athlon II,X3,https://cpu.userbenchmark.com/SpeedTest/91/AMD-Athlontm-II-X3-450-Processor
CPU,Intel,Core i7-7Y75,43.6,Core,i7,7Y75,https://cpu.userbenchmark.com/SpeedTest/211988/IntelR-CoreTM-i7-7Y75-CPU---130GHz
CPU,AMD,Athlon II X4 620,43.6,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/3430/AMD-Athlontm-II-X4-620-Processor
CPU,AMD,Athlon II X3 445,43.6,Athlon,Athlon II,X3,https://cpu.userbenchmark.com/SpeedTest/1775/AMD-Athlontm-II-X3-445-Processor
CPU,Intel,Core m5-6Y57,43.5,Core,,,https://cpu.userbenchmark.com/SpeedTest/42768/IntelR-CoreTM-m5-6Y57-CPU---110GHz
CPU,Intel,Core i3-6100U,43.4,Core,i3,6100U,https://cpu.userbenchmark.com/SpeedTest/37381/IntelR-CoreTM-i3-6100U-CPU---230GHz
CPU,AMD,A12-9730P APU (2016 M.BR),43.4,A12-9730P,A12-,9730P,https://cpu.userbenchmark.com/SpeedTest/236011/AMD-A12-9730P-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,Intel,Core i3-7100U,43.4,Core,i3,7100U,https://cpu.userbenchmark.com/SpeedTest/176913/IntelR-CoreTM-i3-7100U-CPU---240GHz
CPU,Intel,Pentium B950,43.3,Pentium,Pentium,B950,https://cpu.userbenchmark.com/SpeedTest/1968/IntelR-PentiumR-CPU-B950---210GHz
CPU,Intel,Core m5-6Y54,43.3,Core,,,https://cpu.userbenchmark.com/SpeedTest/40602/IntelR-CoreTM-m5-6Y54-CPU---110GHz
CPU,Intel,Pentium 2117U,43.2,Pentium,Pentium,2117U,https://cpu.userbenchmark.com/SpeedTest/6356/IntelR-PentiumR-CPU-2117U---180GHz
CPU,Intel,Celeron 1037U,43.2,Celeron,Celeron,1037U,https://cpu.userbenchmark.com/SpeedTest/3597/IntelR-CeleronR-CPU-1037U---180GHz
CPU,AMD,Athlon II X3 440,43.1,Athlon,Athlon II,X3,https://cpu.userbenchmark.com/SpeedTest/5315/AMD-Athlontm-II-X3-440-Processor
CPU,AMD,A8-3800 APU,43.1,A8-3800,A8-,3800,https://cpu.userbenchmark.com/SpeedTest/7059/AMD-A8-3800-APU-with-Radeontm-HD-Graphics
CPU,Intel,Xeon X3220,43.1,Xeon,Xeon X322,0,https://cpu.userbenchmark.com/SpeedTest/4801/IntelR-XeonR-CPU-----------X3220----240GHz
