Type,Brand,Model,Benchmark,Type_Speed,CAS_Latency,RAM_Sticks,GB_Amount,URL
RAM,Vengeance,Vengeance LED DDR4 3200 C16 2x8GB,84.8,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3200 C16 2x8GB,84.8,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x8GB,84.5,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x16GB,84.4,DDR4 3000,C15,4,16GB,https://ram.userbenchmark.com/SpeedTest/92054/Corsair-Vengeance-LPX-CMK32GX4M2B3000C15-2x16GB
RAM,Trident,Trident Z DDR4 3000 C15 2x8GB,84.3,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3000-C15-2x8GB/Rating/3548
RAM,Trident,Trident Z RGB DDR4 3200 C16 2x8GB,84.3,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
RAM,Fury,Fury DDR4 2666 C15 2x4GB,84.2,DDR4 2666,C15,4,4GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556
RAM,Ripjaws,Ripjaws V DDR4 3200 C16 2x8GB,84.0,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Fury,Fury DDR4 2666 C15 2x8GB,83.2,DDR4 2666,C15,4,8GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x8GB/Rating/3553
RAM,Dominator,Dominator DDR4 3000 C15 2x8GB,82.8,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597
RAM,Vengeance,Vengeance RGB DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
